title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
"Silent Night, Bloody Night: The Homecoming (2013)",Horror,10-06-2013,UK,4.5,85 min,Adrienne King|Lee Bane|Rorie Stockton|Sule Rimi|Sabrina Dickens|Rosemary Smith|Philip Harvey|Richard Goss|Matthew Batte|David Beynon|Victor Ptak|Gary Knowles|Ceri Mears|Richard Burman|Scott Delap,English,"Bridgend, Wales, UK"
The Visitor (2016),Drama| Horror| Thriller,21-04-2017,Romania,7.2,119 min,Oleg Apostol|Andreea Bosneag|Carmen Cinteza|Andrei Ciopec|Mia Crisan|Anastasia Dima|Oana Gabriela Draghici|Oana Irina Dutu|Bogdan Fanariu|Ionut Grama|Ion Haiduc|Bogdan Oproescu|Razvan Raduta|Andra Iulia Stoicescu|Cristian Toma,Romanian|Romanian,"Bucharest, Romania"
Knight of the Dead (2013),Action| Fantasy| Horror,30-10-2014,Kuwait,2.8,82 min,Feth Greenwood|Vivien Vilela|Lee Bennett|Dylan Jones|Alan Calton|Jason Beeston|George McCluskey|Alf Thompson|Dennis Carr|Eva Morgan|Han|Matt Saxon|Neill Scullard|Dylan Kennedy|Ryan Hazeldine,English,"Snowdonia, Gwynedd, Wales, UK"
Preston Castle (2014),Horror,07-10-2014,USA,3.7,83 min,Mackenzie Firgens|Jake White|Heather Tocquigny|Cody Morris|Amanda Vogel|Connor Kinzer|Carol Bauman|Vince Murdock|Charlie Adams|Jack Adams|Jordan Carey|Nick Carozza|Michael Deggelmann|Richard Fleming|Kevin Grover,English,"Ione, California, USA"
The Emerging Past Director's Cut (2017),Horror| Mystery| Thriller,28-03-2017,USA,4.4,90 min,Rick Borgia|Al Burgo|Ray Capuana|Thomas J. Churchill|Steve Dash|Shirley Dluginski|Stephen Geoffreys|Krista Grotte|Bridget Hogue|Lloyd Kurth|David Lee Madison|Mike Marino|Brooke McCarter|Tony Moran|Diego Ostolaza,English,"Ridgewood, Queens, New York City, New York, USA"
Swamp Freak (2017),Horror,26-04-2017,USA,2.9,75 min,Lesleh Donaldson|Helene Udy|Felissa Rose|Aisling Goodman|Josh Van Meurs|Alex Caithness|Michael Timmermans|Nick Appleby|Dylan Hughe|Dylan Norberg,English,"Cowichan Valley, BC"
Lazarus: Apocalypse (2014),Crime| Horror| Mystery| Thriller,01-09-2015,USA,5.5,90 min,Natalie Victoria|Ray Capuana|Kevin Eugene Franklin|James Duval|Stephen Geoffreys|Josh Hammond|Brooke Lewis|Janet Tracy Keijser|Brian Andrews|Jeff Dylan Graham|Serena Lorien|Krista Grotte|Sarah French|Thomas J. Churchill|Raven Lexy,English,"Hollywood, Los Angeles, California, USA"
Varsity Blood (2014),Horror,19-08-2014,USA,3.9,87 min,Lexi Giovagnoli|Wesley Scott|Debbie Rochon|Natalie Peyton|Blair Jackson|Elyse Bigler|Melody Herron|Jesse Ferraro|Kiarra Hogan|Payton Wood|Chris Hlozek|Elle LaMont|Taylor Moessinger|Manuel Chapa|Fabian Watkins,English,"Elgin, Texas, USA"
The Devil's Woods (2015),Horror,24-10-2015,Ireland,3.2,73 min,Stephen Cromwell|Anthony White|Aidan O Sullivan|Richard Mason|Danielle Keaney|Daniel Mahony|Sandra Hayden Mason|Eoin Quinn|Aoife King|Stephen Murray|Ishtar Darlington|Aine O'Brien|Caoimhe Cassidy|Roxanne Josephine|Gary Jones,English,"Dublin City, Ireland"
Vamp Bikers Dos (2015),Horror,19-09-2015,USA,7.2,80 min,Ángel Salazar|Melle Mel|Eric Spade Rivas|Tito Rafael Martinez|Michael Alig|Apache Ramos|Gerry Visco|Manuel Mikey Acevedo|Kristen Duchene|Lara Alcantara|Maria Hoffmann|Alex McKelley|Paugh Shadow|Tyler Stone|Athena Alexis,English,"15 thames st. Brooklyn, New York City, New York, USA"
Devils of War (2013),Action| Horror,15-04-2013,UK,2,74 min,Lawrence Anthony|Jerry L. Buxbaum|Jamin Watson|Jeremiah Grace|Apple Lee|Carly Kingston|Mykaela Louise Dorsey|Jeff Richardson|Tyler Pesek|Jacques Boyreau|Chris Stephens|Bronson Carbona|Brendan Burke|Tim Harrold|Aura Gochenour,English,"Oregon, USA"
The Fiancé (2016),Horror,11-11-2016,USA,3.6,79 min,Carrie Keagan|Douglas Tait|Danni DanDan Gadigan|Staci Layne Wilson|Tony Snegoff|Kate Rees Davies|Curt Lambert|Aaron Kai|Dallas Valdez|Mattison Walker|Isaiah Waldron|Michael Coleman|Robert Acres|Seamus Cattaneo|Kip Kincaid,English,"Topanga Canyon, California, USA"
Miss Christina (2013),Horror| Mystery,01-11-2013,Romania,6.9,101 min,Tudor Istodor|Maia Morgenstern|Ioana Anastasia Anton|Dumitrescu Anastasia|Ioana Sandu|Ovidiu Ghinita|Ioan Ionescu|Daria Pusa|Andreea Gheorghe|Razvan Hîncu|Bogdan Farcas|Toma Cuzin|Corneliu Jipa|Despina Stanescu|Cristina Moldoveanu,Romanian,Romania
Abandoned Dead (2015),Crime| Horror| Thriller,04-11-2015,USA,2.5,77 min,Ivan Adame|Hannah Johnson|Sarah Nicklin|Judith O'Dea|Christopher Parker|Carlos Ramirez|Stacy Snyder|Jackson Stafford|Robert E. Wilhelm,English,"Artesia, California, USA"
Chudail Story (2016),Horror,13-05-2016,India,2.9,100 min,Pankaj Berry|Sunny Charles|Menka Lalwani|Nidhi Nautiyal|Sorab Rajpurohit|Akash Rathore|Amal Sherawat|Preeti Soni,Hindi,India
Open Wound (2016),Drama| Horror,29-09-2016,Serbia,5.7,72 min,Milena Djurovic|Jelena Puzic|Jelena Angelovski|Sava Kesic,Serbian,"Belgrade, Serbia"
Exhume (2017),Horror,25-08-2017,UK,5.8,78 min,Alice Rietveld|William Haze|Sarah Sculco|Gary B. Gross|Tony Senzamici|Marty Stonerock|Randy Molnar|Matthew Nardozzi|Mary Lankford Poiley|Skyler Poiley|Elijah Babel|Wayne Earle Kinney|Jordan Brock,English,"Florida, USA"
Decay (2012),Horror,08-12-2012,UK,3.8,76 min,Zoë Hatherell|Tom Procter|Stewart Martin-Haugh|William P. Martin|Sara Mahmoud|Ed Friesen|Kurt Rinnert|Jenn Strauss|David Voong|Sergey Senkin|Katie Malone|Jake Searcy|Johannes Ebke|Christopher Young|Ty Gray,English,"CERN, Switzerland"
Scarred (2013),Horror,05-09-2013,USA,5.1,86 min,Ari Lehman|Don Kilrain|Lisa Neeld|Mark Cray|Carl Ferrara|Bart Flynn|Tina Grimm|Alex Russo|Molly Miller|Haley Kocinski|Jessica Lauschin|Max Elinsky|Janine Sarnowski|Justine Greenwald|Devin McClung,English,"Medina, Ohio, USA"
Sming (2014),Action| Drama| Horror,21-08-2014,USA,5.6,105 min,Thanyaboon Boonprasert|Geoffrey Giuliano|Naerunchara Lertparsert|Damian Mavis|Julien Muller|Phutharit Prombandal|Kinn Ratanachuchock|Atthiwat Theeranithitnanth|Nattakit Udomsrirat|Maythavee Weiss|Winai Wiangyangkung,English|Thai,Thailand
Alien Domicile (2017),Horror,30-03-2017,USA,3.9,88 min,Elly Brown|Ashley Campbell|Sabrina Cofield|Will Edwards|Michael Monteiro|Eduard Osipov|Paul Tumpson|Michael Tushaus|Victoria Viveiros,English,"Las Vegas, Nevada, USA"
Buck Wild (2014),Comedy| Horror,18-03-2014,USA,4.7,96 min,Matthew Albrecht|Phillip Albrecht|Whit Albrecht|Joe Canik|Meg Cionni|Mark Leslie Ford|Tyler Glodt|Jason Harris|Isaac Harrison|Dru Lockwood|Amelia Meyers|Chance Burton Murphy|Danny Nelson|Jarrod Pistilli|Aaron Pozzi,English,"Goliad, Texas, USA"
The Devil's Dozen (2013),Horror| Mystery| Thriller,01-02-2013,USA,3.5,86 min,Eric Roberts|Jake Busey|Jeremy London|Omar Gooding|William McNamara|Dante Basco|Erik Aude|Grace Johnston|Jenny McShane|William Morgan Sheppard|Gianni Capaldi|Markell Andrew|Michael Cade|Sammy Durrani|Adrienne Camille,English,"Hollywood, Los Angeles, California, USA"
Dream Nightmare (2016),Fantasy| Horror,30-12-2016,USA,8,75 min,Alen Rios|Richàrd A. LaBon|Alex Velazquez|Samuel Torres Wagner,English,"Chicago, Illinois, USA"
Death-Scort Service (2015),Horror,13-10-2015,USA,5.9,79 min,Krystal Pixie Adams|Amethist Young|Bailey Paige|Cayt Feinics|Ashley Lynn Caputo|Geneva Whitmore|Racheal Shaw|Paula Tsurara|Alice Reigns|Lisa Marie Kart|Joel D. Wynkoop|Bob Glazier|Joe Makowski|Leah Mayhem|Amanda Welch,English,"Tampa, Florida, USA"
Cin Kuyusu (2015),Horror,06-11-2015,Turkey,5.9,79 min,Cemal Baykal|Kubilay Güleçoglu|Asi Güner|Zeynep Buse Kale|Emre Korkmaz|Beril Ozgur|Sinem Sarizayim|Sinem Sarizayim|Beril Özgür,Turkish,"Istanbul, Turkey"
Slaughter Daughter (2012),Horror,01-01-2012,USA,4.4,77 min,Nicola Fiore|Leesa Rowland|Tim Dax|Ruby Larocca|Khalid Balgar|Alan Bendich|Tony Benevento|Mike Connell|Deborah Das|Christine Hoberg|Kristen Hung|Jo Jett|Lloyd Kaufman|Mustafa Mohammed|Danny Morales,English,"Jersey City, New Jersey, USA"
Hangman's Game (2015),Horror| Mystery| Thriller,16-05-2016,Colombia,3.6,87 min,Jason Chad Roth|Andres De La Fuente|Viña Machado|Jorge Herrera|Katarina Sacht|Jorge Castellanos|Paula Estrada|Antonio Posada,English,"Utica, Cundinamarca, Colombia"
Nazi Vengeance (2014),Horror| Thriller,05-05-2015,USA,2.5,97 min,Mark Drake|Sophie Barker|Rosie Akerman|Miles Jovian|Julian Glover|Callie Moore|Jon Bartlett|Alexi Parkin|Mia E.M. Chamberlain|Jj Borrett|Jesse Kidd Moore|Mick Smith|Stephen Carr|René Zimmermann|Ava Gold,English,"Duncannon Fort, Co.Wexford, Ireland"
Germ (2013),Action| Drama| Horror| Sci-Fi,12-03-2013,USA,3.7,80 min,Marguerite Sundberg|Michael Flores|Mark Chiappone|Beth Pratt|Zoe Miller|Bernard Setaro Clark|Jody Pucello|Alyssa Coan|Vanessa Smith|Brendan Nagle|Michael Essi|Lynette Dixon|Dana Beierle|J.T. Boone|Christine Tino Dickerson,English,"Highland Forest, Onondaga County, New York, USA"
Terrordactyl (2016),Action| Comedy| Horror,16-06-2016,USA,4.3,95 min,Jack E. Curenton|Bianca Haase|Christopher John Jennings|Kevin Keator|Adam Key|David Landry|Candice Nunes|Leo Oliva|Victoria Summer|Jason Tobias|Aubrey Wakeling,English,"Los Angeles, California, USA"
Love of my Life (2013),Horror| Thriller,10-11-2013,USA,3.4,96 min,Peter O'Brien|Michael Budd|Bel Deliá|Jean-Pierre Yerma|Isaro Kayitesi|Diarmid Heidenreich|Amanda Jermyn|Tom Pelik|Mark Stevens|Amanda Hooper|Kathryn Wenborn|Warwick Schneider|Benjamin Pollet|Ripley Hood|John Lambert,English,Australia
Psychedelia (2016),Fantasy| Horror| Sci-Fi| Thriller,02-06-2016,USA,8.6,73 min,Adriana Carradero|Alen Rios|Brianna Gonzalez|Julian Reyes|Richàrd A. LaBon|Simon Gallow|Sonita Burgos|Alex Velazquez|Mildred Amador|Robert Cruz|Ashley Perez|Curtis Simmons|Giovanni Rosa|Jordan Rodriguez|Brandon Burgos,English,"1147 N. Western Ave, Chicago, Illinois, USA"
The Break-In (2016),Horror| Mystery| Thriller,05-02-2016,USA,4.3,72 min,Justin Doescher|Maggie Binkley|Juan-Pablo Veizaga|Melissa Merry|Ted Fernandez|Shaun Woodland|Vickie Warehime|Rob Czerwinski|Scott Goldberg|Laura O'Sullivan|Kurt Rimlinger|Ashley Rood|Patrick Welsh,English,"Baltimore, Maryland, USA"
Autumn's End (2015),Horror| Mystery| Thriller,01-04-2016,USA,6.3,80 min,Raymond Creamer|Callie Ott|Schell M. Peterson|Chris Oliver|Lexi Moeller|Cory Coleman|Kayla Nocera|Ellie Cecala|Bridget Mulcahy|Gary Crites,English,"Bear Lake, Michigan, USA"
Invoked (2015),Horror| Mystery| Thriller,05-09-2017,USA,3.4,85 min,Ciara Rose Burke|Lynn Larkin|Patrick Murphy|Craig Grainger|Aaron Gibson|Paula Phelan|Peter Wolf|Christopher Daly|David O'Neill|Richard Durning,English,"Sligo, County Sligo, Ireland"
The Inflicted (2012),Horror| Thriller,30-04-2014,Philippines,3.8,87 min,Matthan Harris|Bill Moseley|Sid Haig|Doug Bradley|Giovanni Lombardo Radice|Lindsay Hightower|Charles Duran|Gerardo Davila|Amy Erin Amory|Terry Spector|Matt Socia|Kim Cicio|Ka Beesler|Allison Victoria|Ian Maurer,English,"Los Angeles, California, USA"
The Black Tape (2014),Crime| Horror| Mystery| Thriller,13-11-2015,USA,7.6,92 min,Elina Madison|Allen Marsh|Oto Brezina|Melanie Thompson|Parker Coppins|Viktoria Stonebrooke|Bryan Mordechai Jackson|Cassi Ellis|Douglas Olsson|Glen Ratcliffe,English,"Los Angeles, California, USA"
Kristen (2015),Horror| Thriller,28-09-2015,Netherlands,6.4,86 min,Terence Schreurs|Poal Cairo|Jet Pagnier|Ronald Top|Howard van Dodemont,Dutch,"Amsterdam, The Netherlands"
A Cry from Within (2014),Horror| Mystery| Thriller,03-04-2014,USA,3.9,96 min,Eric Roberts|Cathy Moriarty|Deborah Twiss|James McCaffrey|Sydney McCann|Matthew McCann|Tom Pelphrey|Robert Vaughn|Pat Patterson|Journey Gonzalez|Angelique Berry|Sibyl Santiago|Judi Beecher|Harris Doran|Jack William Marshall,English,"Manhattan, New York City, New York, USA"
Delusion (2016),Drama| Horror| Mystery,17-10-2016,USA,6,85 min,David Graziano|Jami Tennille|Irina Peligrad|Kris Salvi|Justin Thibault|Carlyne Fournier|Renee Lawrie|Jessy Rowe|Christine Perla|Ronnie Oberg|Shereen Brown|Pete Premo|Denise Cascione|Irina Khaykin|Adam Khaykin,English,"Somerville, Massachusetts, USA"
The Owl (2014),Drama| Horror| Thriller,01-06-2014,USA,6.1,114 min,Evan Brinkman|John Dangolli|Ellen Gall|Gina Hughes|Victor Jones|Kenny Logsdon|Jacob Lovett|Heather L. Porter|David Yazdiya,English,"Jacksonville, Florida, USA"
Dead Weight (2012),Drama| Horror| Thriller,30-03-2012,USA,5.3,89 min,Joe Belknap|Mary Lindberg|Michelle Courvais|Aaron Christensen|Sam Lenz|Jess Ader|Matty Field|Jake Martin|Mark Muetzel|Steve Herson|Cheri Sandlin|Fran St. Andre|Jason Ryf|Reva Fox|Adam Loper,English,"Fisk, Wisconsin, USA"
Trophy Heads (2014),Horror,04-06-2014,USA,5,87 min,Adam Noble Roberts|Maria Olsen|Brinke Stevens|Darcy DeMoss|Jacqueline Lovell|Linnea Quigley|Michelle Bauer|Denice Duff|Irena Murphy|Stuart Gordon|Gregory Niebel|Carel Struycken|Kristine DeBell|Nihilist Gelo|David DeCoteau,English,"Los Angeles, California, USA"
The Evil Gene (2015),Horror| Thriller,01-09-2015,USA,3.7,78 min,Richard Speight Jr.|Cameron Richardson|Lindsey Ginter|Anthony L. Fernandez|Gene Gabriel|Ted Heyck|Lindsay Ayliffe|Jon-Paul Vertuccio|James Crosby|Ned Liebl|Kervens Joseph|Kruiz Mauga|Jeffrey Henderson|Suzanne Cotsakos|Don Hartman,English,"Silver Dream Factory, 1181 N Knollwood Circle, Anaheim, California, USA"
Backwater (2013),Horror| Mystery| Thriller,01-04-2013,USA,6,94 min,Thomas Daniel|Andrew Roth|Justin Tully|Liana Werner-Gray,English,"Maryland, USA"
The Rakugo Movie (2012),Comedy| Crime| Drama| Horror,06-04-2013,Japan,8.3,110 min,Tsubasa Honda|Syunputei Ichinosuke|Sanshirô Katsura|Takako Katô|Haruna Kondô|Sanyutei Kyuza|Haruka Minowa|Kenji Murakami|Ryô Nishikata|Takuma Otoo|Syunputei Pittkari|Shigeru Saiki|Hayasiya Sanpei|Yumika Tajima|Yôji Tanaka,Japanese,"Tokyo, Japan"
But Deliver Us from Evil (2017),Horror| Thriller,27-04-2017,USA,7.6,109 min,Eric Roberts|Pooch Hall|Grant Harvey|Thorsten Kaye|Isaac Keys|Torrei Hart|Cynthia Rodriguez|Christopher Mann|Beverly Sade|Joseph Gian|Alice Rose|RJ Konner|Tamera Fair|Yesse Rodriguez|Dave Shaver,English,"Raleigh, North Carolina, USA"
A Capital dos Mortos 2: Mundo Morto (2015),Drama| Horror,17-05-2015,Brazil,7.4,71 min,Lorena Aloli|José de Campos|Tiago Esmeraldo|Gino Evangelisti|Rany Fontelene|Morgana Santos Gama|Ana Flavia Garcia|Renata Helena|Nobu Kahi|Marília Mangueira|Rodrigo Luiz Martins|Gustavo Serrate|Jazz Vasconcellos,Portuguese,"Brasília, Distrito Federal, Brazil"
Samuel's Game (2014),Horror| Mystery| Thriller,20-09-2014,USA,7.1,80 min,Kario Pereira-Bailey|Lydiana Medellin|Dani Santiago|Emile Sodergren|Raimonda Skeryte|Javier Machado|Ethan Pettit|Ydaiber Orozco|Paposanti|Bill Joachim|Jeannette Gould|Bern Cohen|Julia Horn|Becky Baker|Joanne Capo,English,"Brooklyn, New York City, New York, USA"
The Beckoning (2013),Horror,31-10-2013,USA,5.8,65 min,Jason Farmer|Samantha Hunt|Stefani Cronley|Blair Hoyle|Courtney Latterner|Michael Bardon|Robert Lenski|Andrew Dyson,English,"Sylva, North Carolina, USA"
Swarm of the Snakehead (2006),Comedy| Horror| Sci-Fi,01-07-2016,USA,3.8,95 min,Jamie Linck O'Brien|Lisa Burdette|Maggie Denning|Timothy Stultz|Johnny Alonso|Gerry Paradiso|Gunnar Hansen|Joel Denning|Sharon Graves|Rigg Kennedy|Frank Lama|Kim Mallory|Steve Carson|Leanna Chamish|Lizzy Denning,English,"Easton, Maryland, USA"
Olalla (2015),Drama| Horror,29-01-2015,Bolivia,5,94 min,Amy Hesketh|Jac Avila|Mila Joya|Alejandro Loayza|Erix Antoine|Luis Almanza|Maria Esther Arteaga|Eric Calancha|Christian Del Rio|Rosario Huanca|Valeria Huanca|Roberto Lopez|Fermin Nuñez|Pablo Paravicini|Rhobess Pierre,Spanish|English,"La Paz, Bolivia"
Malady (2015),Drama| Horror| Mystery,11-07-2017,USA,9,93 min,Roxy Bugler|Kemal Yildirim|Jill Connick|Gary Cross|Ellen Carter|Nicola Wright|Tom Bonington|Sophie Riley|Edward Donnelly|Lewis Saunderson|Linda Archibald|Abbey Fitzpatrick|Sue Fowle,English,"Southacre, Norfolk, UK"
Grafir & Bein (2016),Drama| Horror| Thriller,01-01-2016,Iceland,4.8,82 min,Margrét Asta|Elva María Birgisdóttir|Nína Dögg Filippusdóttir|Gísli Örn Garðarsson|Sveinn Geirsson|Sveinn Ólafur Gunnarsson|Þorsteinn Gunnarsson|Björn Hlynur Haraldsson|Ísak Hinriksson|Helga Xochitl Ingólfsdóttir|Ólafía Hrönn Jónsdóttir|Magnús Jónsson|Hilmar Snorri Rögnvaldsson,Icelandic,Iceland
Bad Behaviour (2010),Horror| Thriller,01-07-2013,USA,3.9,90 min,John Jarratt|Lindsay Farris|Dwaine Stevenson|Robert Coleby|Georgina Symes|Roger Ward|Jean Kittson|Caroline Levien|Ellen Grimshaw|Dominique De Marco|Rio Holland|L.J. Sims|Nic Mohr|Tyson Hargreaves|Joe Bugner,English,"Arundel, Queensland, Australia"
Rows (2015),Fantasy| Horror| Mystery,29-09-2015,USA,4.2,84 min,Hannah Schick|Lauren Lakis|Kenneth Hughes|Joe Basile|Nancy Murray,English,"Harford County, Maryland, USA"
Molly Crows (2013),Horror,05-04-2014,UK,7.3,96 min,Mercy Gaiger|George Newton|Samira Mohamed Ali|Miles Rodziewicz|Pete Noakes|Layla Randle-Conde|Ernest Vernon|Bruce Jackson|Natalie Redman|Charlie Glossop|Daniel Jordan|Alexandra Eve Tordoff|Christopher Keddie|Val Monk|James Stuckey,English,"Burslem, Stoke-on-Trent, Staffordshire, England, UK"
Creepers (2014),Horror,01-10-2014,USA,5.8,93 min,Catherine Ashton|Susan Adriensen|Christian Walker|Bradley Creanzo|Bob Socci|Cheryl Koski|Thomas Mendolia|Brian Lannigan|Desiree Boyle,English,"Mobile, Alabama, USA"
The Devil Incarnate (2013),Drama| Fantasy| Horror| Sci-Fi| Thriller,18-06-2014,Philippines,3.4,93 min,Graci Carli|Rod Luzzi|Emily Rogers|Cindy Hogan|Barbara Van Fleet|Walter Colson|Tom Riska|Courtney Gardner|Towns W. Sanford|Deborah Hurm|Breezy Sharp|Austin Shepard|Brian Jerin|Anthony Paderewski|Mildred Aldaya,English,"Jacksonville, Florida, USA"
Random Acts of Violence (2012),Comedy| Crime| Horror,23-01-2013,France,5.8,86 min,Rebecca Dayan|Jennifer Murray|James DeBello|Steve Carrieri|Dominic Ciccodicola|Ashley Cahill|Brie Welch|Elizabeth Gray|Jake Hoffman|James Thompson|Isabel Lodge|Emilie Baltz|Aris Blevins|Edward Schiff|Don Yanan,English,"New York City, New York, USA"
Last Bus (2016),Horror| Mystery,15-01-2016,India,7,123 min,Avinash Narsimharaju|Prakash Belawadi|Meghashree Bhagavatar|Manasa Joshi|Rajesh P.I.|Deepa Gowda|Samarth Raju|Shankar Shetty,Kannada,"Bangalore, Karnataka, India"
How to Kill a Zombie (2014),Comedy| Horror,09-05-2014,USA,4.5,91 min,Bill Steven McLean|Ben McLean|Hannah Elaine Perry|Sheri Lee|Donald Libby|Nathan White|Christopher Walters|Gary Hauger|Juliana Spier|Joe Swenson|Sampson Sampson|Alendra Harris|Dan Blake|Darren Leighton|Erma Jones,English,"Maine, USA"
Date of the Dead (2015),Comedy| Horror,17-08-2017,USA,4.4,98 min,Andy Gonzalez|Shelby Athouguia|Nicholas Ryan Izzo|Kelsey Reinhard|Matthew Konen|Cortney Radtke|Sara Jackson|Jesse Boone|Sara Mirasola|Greg Rencken|Kate Strauss|Sydney Jackson|Cassie Wilkinson|Luke Johnson|Heather Marie Cox,English,"Tucson, Arizona, USA"
3rd Night (2017),Horror,26-08-2017,UK,6.9,72 min,Jesse McGinn|Robert Hartburn|Bruce Denny|Connor Gosatti|Rose McKenna|Daniel Williamson|Jenelle Altinier|Audrey Degenaar|Keala Kern,English,"Jarradale, West Australia"
Ouija: Game Never Ends (2015),Horror,06-11-2015,India,8.3,119 min,Bharat|Shradha Das|Gayathri Iyer|Madhuri Itagi|Kadambari Jethwani|Avinash|Sayaji Shinde|Raja Ravindra|Raghu Kunche,Kannada,Malaysia
Roadside (2013),Drama| Horror| Mystery| Thriller,14-04-2015,USA,3.9,90 min,Ace Marrero|Katie Stegeman|Jack E. Curenton|Lionel D. Carson|Marshall Yates|Alan Pietruszewski|Brad Douglas|Tupelo Honey of Angel|Alexis Raven Marrero|Lawrence Jett|Joseph Jett|Erin Stegeman|Eric England,English,"Virginia, USA"
Territorial Behavior (2015),Horror| Mystery,07-06-2015,USA,5.6,80 min,Ronan Murphy|Bridget O'Connor|Corey Macri|Aaron Lee Reed,English,Ireland
Elder Island (2016),Horror| Thriller,01-01-2016,USA,3.2,81 min,Jamie Bernadette|Jordan Trovillion|Dan Hicks|Alora Catherine Smith|Timothy Patrick Quill|Melissa Anschutz|Nate Scholz|Michael Robert Brandon|Sean Peavy|Jake Rotger|Donavan Darius|Johnny Flynn|Christopher Hohman|Ben Blaesing|Erica Overholt,English,"Beaver Island, Michigan, USA"
Terror 5 (2016),Horror,05-01-2017,Argentina,4.6,78 min,Airas Alban|Augusto Alvarez|Nai Awada|Juan Barberini|Magdalena Capobianco|Cecilia Cartasegna|Edgardo Castro|Gaston Coccharale|Walter Cornás|Walter Escobar|Rafael Ferro|Lu Grasso|Clarisa Hernández|Flavia Marco|Giselle Motta,Spanish,"Buenos Aires, Federal District, Argentina"
Hot Tub Party Massacre (2016),Horror,28-10-2016,Canada,4.4,72 min,Chrissy Cooke|Stu Ford|Sarah Foster|Erin Hyndman|Mark Kiazyk|Brian Langlotz|Nicholas MacDonald|Frank McGwire|Amanda Nickels|Tony Lee Porteous|Sarah Soda|Brinke Stevens|Corey Taylor|Jynx Vandersteen|Danny Warren,English,"Winnipeg, Manitoba, Canada"
Hostile (2014),Action| Drama| Fantasy| Horror| Thriller,28-10-2014,France,5.5,89 min,Anatolia Allieis|Nathan Ambrosioni|Vanessa Azzopardi|Didier Beaumont|Luna Belan|Paul Brasselet|Richard Carré|Julien Croquet|Danielle Di Sandro|Lucille Donier|Mallow Garcia|Magali Gouyon|Morgan Hec|Sarah Robert|Julie Venturelli,French,France
90210 Shark Attack (2014),Drama| Horror| Sci-Fi,01-10-2014,USA,1.9,75 min,Donna Wilkes|Rachel Rosenstein|Braden Bacha|Jeffrey Decker|Jud Birza|Stephanie Shemanski|Nikki BreAnne Wells,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA"
Frost (2012),Horror| Sci-Fi| Thriller,10-10-2013,USA,3.7,79 min,Helgi Björnsson|Einar Dagbjartsson|Valur Freyr Einarsson|Elma Lísa Gunnarsdóttir|Anna Gunndís Guðmundsdóttir|Bjartur Guðmundsson|Hallur Ingólfsson|Hilmir Jensson|Hilmar Jonsson|Halfdan Pedersen|Björn Thors,Icelandic,Iceland
Collar (2014),Horror,31-05-2014,USA,4.7,89 min,Nick Principe|Aidan Dee|Mihola Terzic|Ronald Patrick Thompson|Fred Levasseur|Mackenzie Murdock|Tony Cipriano|Momona Komagata|Roger Dunkley II|Ross E. Birmann|Gary Starkell|Becca MacDonald|Ryan Nicholson|Adam Torkel|Taylor Nicholson,English,"Vancouver, British Columbia, Canada"
