title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
Scars of Xavier (2017),Drama| Horror| Thriller,21-10-2017,USA,8.5,90 min,Isabelle Aring|Marc Engel|Frank Freitag|Jelly Francis Gaviria|Lamacra|Angelina Markiefka|Michael Möhlenbruch|Sascha Möhlenbruch|Daniele Rizzo|Dirk Sonnenschein|Annika Strauss|Vanessa Tesch|Oliver Troska|Alexia von Wismar|Dominik Weiß,English,Germany
Maligno (2016),Horror| Mystery,14-07-2016,Peru,6.7,87 min,Sofía Rocha|Fiorella Pennano|Gino Pesaressi|Sylvia Majo|Gonzalo Molina|Juan Luis Maldonado|Fernando Bacilio|Marcelo Ingunza|Johnny Acevedo|Arshana Alvarado|Luigi Arce|Diego Arévalo|Gerald Assina|Juan Ayala|Humberto Barbagelata,Spanish,"Iquitos, Peru"
Dreadtime Stories (2014),Horror| Thriller,17-10-2015,USA,4.1,105 min,Jordan Bruster|Cary Cadena|Autumn Caro|Max Caruso|Sylus Conlea|Bonnie Ann Coronado|Aileen Corpos|Michael Cristian|Maurice Curran|Andrea De La Garza|Brianna Elaine|Rebekah Espinosa|Kasie Fierova|Briana Garcia|Jason Lee Garcia,English,"Corpus Christi, Texas, USA"
Trey the Movie (2013),Action| Horror| Thriller,04-06-2013,USA,8,91 min,Keith Goff|Walter Halliburton|Dana Porter|Iris Moore|Guillermo Jemmott Jr.|Brittany Howell|Gerry Jones|Candi Jones|Edward Bowden|Ross Tapley|Kevia Mayhall|Flyod Kroger|Chelsea Smith|Christine Oaks|Terry Dycus,English,"Memphis, Tennessee, USA"
Bloody Muscle Body Builder in Hell (2012),Horror,01-01-2014,Japan,6.7,62 min,Shinichi Fukazawa|Masaaki Kai|Asako Nosaka,Japanese,Japan
Slash 2 (2014),Drama| Horror| Thriller,21-08-2014,USA,7.6,95 min,Jack Stanis|Pamela Ray Argandona|Michael Berdon|Pat Coghlan|Schyler Coghlan|Mike Daum|Julia Falkner|Katie Gillan|Travis Hollingsworth|Chris Kerr|Alexa Kosloski|Dianne Kraemer|Jonathan McGrath|Laina Mott|Carolyn Mraz,English,"Long Island, New York, USA"
Darkest Night (2012),Drama| Horror| Thriller,01-07-2013,USA,3.4,99 min,DJ Perry|Anne Gauthier|Issa Litton|Nic Campos|Jill Palencia|Justin Hoong-Fai Chan|Zeny Sevilla|Kevin Vitug|Elle Velasco|Marife Necesito|Jonas Gruet|Allan Dale Alojipan|Raymond Osmeña|James Lomahan|Czarina Llane Kwong,English,Philippines
Monarch (2000),Biography| Drama| History| Horror| Mystery| Thriller,14-09-2014,UK,7.7,83 min,T.P. McKenna|Jean Marsh|James Coombes|Peter Sowerbutts|George Staines|Peter Miles|Mark Montgomerie,English,"London, England, UK"
Scavenger Killers (2014),Crime| Horror| Thriller,01-07-2014,USA,4.8,100 min,Eric Roberts|Charles Durning|Robert Loggia|Dustin Diamond|Robert T. Bogue|Rachael Robbins|Kim Allen|Ken Del Vecchio|Suzi Lorraine|Nina Transfeld|Angela Little|Michael Rivera|Thea Vidale|Kirk Ponton|Frank Giglio,English,"New Jersey, USA"
Taught in Cold Blood (2017),Horror| Thriller,28-03-2017,USA,3.6,94 min,Luke Lippold|Mesindo Pompa|Sara Drust|Loydene Williamson|Justin Hoffmeister|Vance Fannin|Jorge Troche|P. David Miller|Nicky Korba|Colin McGurk|Bethany Braun|Blake Beaudette|Sean DeGruy|Bryant Arthur|Justin Cone,English,"Los Angeles, California, USA"
